primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
asikoe2,[],['song'],9.6446,76.9537,Eudynamys scolopaceus,Asian Koel,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/190308,asikoe2/XC190308.ogg
asikoe2,[],['song'],14.7655,120.2769,Eudynamys scolopaceus,Asian Koel,Stijn De Win,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/194196,asikoe2/XC194196.ogg
asikoe2,[],['song'],2.1862,128.5764,Eudynamys scolopaceus,Asian Koel,Marc Thibault,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/194905,asikoe2/XC194905.ogg
asikoe2,[],"['call', 'female']",18.5344,73.7853,Eudynamys scolopaceus,Asian Koel,Rajgopal Patil,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/195758,asikoe2/XC195758.ogg
asikoe2,[],['call'],15.4542,73.8306,Eudynamys scolopaceus,Asian Koel,Andrew Mascarenhas,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/196961,asikoe2/XC196961.ogg
asikoe2,"['houcro1', 'labcro1']",['begging call'],18.4426,74.0179,Eudynamys scolopaceus,Asian Koel,Rajgopal Patil,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/207166,asikoe2/XC207166.ogg
asikoe2,[],"['call', 'female', 'male']",15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/208590,asikoe2/XC208590.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/208773,asikoe2/XC208773.ogg
asikoe2,"['houcro1', 'rorpar']",['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/208774,asikoe2/XC208774.ogg
asikoe2,['houcro1'],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/208899,asikoe2/XC208899.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/208905,asikoe2/XC208905.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1,https://www.xeno-canto.org/208907,asikoe2/XC208907.ogg
asikoe2,"['blakit1', 'houcro1', 'junmyn1']",['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/209025,asikoe2/XC209025.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/209026,asikoe2/XC209026.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/209209,asikoe2/XC209209.ogg
asikoe2,"['houcro1', 'whtkin2']",['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/209210,asikoe2/XC209210.ogg
asikoe2,[],['call'],22.5381,114.0628,Eudynamys scolopaceus,Asian Koel,Robin List,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/240257,asikoe2/XC240257.ogg
asikoe2,[],['call'],8.517,77.006,Eudynamys scolopaceus,Asian Koel,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/241381,asikoe2/XC241381.ogg
asikoe2,[],"['call', 'female']",19.2421,72.935,Eudynamys scolopaceus,Asian Koel,Prateik Kulkarni,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/252829,asikoe2/XC252829.ogg
asikoe2,[],['call'],23.1703,89.4967,Eudynamys scolopaceus,Asian Koel,az dipu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/253423,asikoe2/XC253423.ogg
asikoe2,[],['song'],10.9833,76.7341,Eudynamys scolopaceus,Asian Koel,Vijaykumar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/260248,asikoe2/XC260248.ogg
asikoe2,[],['call'],12.9912,80.2363,Eudynamys scolopaceus,Asian Koel,Vivek Puliyeri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/267100,asikoe2/XC267100.ogg
asikoe2,[],['call'],10.1369,76.4567,Eudynamys scolopaceus,Asian Koel,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/268368,asikoe2/XC268368.ogg
asikoe2,['spodov'],['song'],24.9856,121.5311,Eudynamys scolopaceus,Asian Koel,Ko Chie-Jen (Jerome),Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.5,https://www.xeno-canto.org/283132,asikoe2/XC283132.ogg
asikoe2,[],['song'],-8.2719,115.1552,Eudynamys scolopaceus,Asian Koel,Bruno Durand,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/287537,asikoe2/XC287537.ogg
asikoe2,[],['?'],8.632449,97.646313,Eudynamys scolopaceus,Asian Koel,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5,https://www.xeno-canto.org/29590,asikoe2/XC29590.ogg
asikoe2,[],['?'],1.313095,103.813677,Eudynamys scolopaceus,Asian Koel,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5,https://www.xeno-canto.org/29594,asikoe2/XC29594.ogg
asikoe2,[],['call'],3.3402,101.2498,Eudynamys scolopaceus,Asian Koel,Benj Smelt for MNS,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/297676,asikoe2/XC297676.ogg
asikoe2,[],"['call', 'song']",18.8095,98.9585,Eudynamys scolopaceus,Asian Koel,Dave Kliman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/301717,asikoe2/XC301717.ogg
asikoe2,[],['call'],7.6286,99.0747,Eudynamys scolopaceus,Asian Koel,Peta Meyer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/302927,asikoe2/XC302927.ogg
asikoe2,[],"['female', 'male', 'song']",34.7335,112.2591,Eudynamys scolopaceus,Asian Koel,Qin Huang,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/304299,asikoe2/XC304299.ogg
asikoe2,[],"['alarm call', 'juvenile']",7.2509,80.3487,Eudynamys scolopaceus,Asian Koel,Asiri Shanaka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/305691,asikoe2/XC305691.ogg
asikoe2,[],['call'],14.15,121.232,Eudynamys scolopaceus,Asian Koel,jim samaniego,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/307123,asikoe2/XC307123.ogg
asikoe2,[],['song'],18.9952,72.8173,Eudynamys scolopaceus,Asian Koel,Yogesh Patel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/307545,asikoe2/XC307545.ogg
asikoe2,[],"['call', 'female']",18.9952,72.8173,Eudynamys scolopaceus,Asian Koel,Yogesh Patel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/307546,asikoe2/XC307546.ogg
asikoe2,[],['song'],9.2492,76.6392,Eudynamys scolopaceus,Asian Koel,HARI MAVELIKARA,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/309568,asikoe2/XC309568.ogg
asikoe2,[],['call'],22.0392,96.4717,Eudynamys scolopaceus,Asian Koel,Heleen M,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/311004,asikoe2/XC311004.ogg
asikoe2,[],['call'],22.517,113.3927,Eudynamys scolopaceus,Asian Koel,james,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0,https://www.xeno-canto.org/313082,asikoe2/XC313082.ogg
asikoe2,[],['song'],30.8178,104.0282,Eudynamys scolopaceus,Asian Koel,Ershan Chen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/316778,asikoe2/XC316778.ogg
asikoe2,[],['call'],,,Eudynamys scolopaceus,Asian Koel,brendan sloan,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/319736,asikoe2/XC319736.ogg
asikoe2,[],['song'],31.9165,114.2253,Eudynamys scolopaceus,Asian Koel,Qin Huang,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/323137,asikoe2/XC323137.ogg
asikoe2,[],['call'],28.5359,77.392,Eudynamys scolopaceus,Asian Koel,pradeep,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/324988,asikoe2/XC324988.ogg
asikoe2,[],"['call', 'male']",8.0871,98.8939,Eudynamys scolopaceus,Asian Koel,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/325570,asikoe2/XC325570.ogg
asikoe2,[],['song'],13.0522,100.0856,Eudynamys scolopaceus,Asian Koel,Thijs Fijen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/327430,asikoe2/XC327430.ogg
asikoe2,[],"['call', 'female', 'male']",8.7055,81.1875,Eudynamys scolopaceus,Asian Koel,Hugo Wieleman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/330496,asikoe2/XC330496.ogg
asikoe2,['cohcuc1'],"['call', 'song']",21.0442,75.8483,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/331241,asikoe2/XC331241.ogg
asikoe2,[],['song'],21.0476,75.8539,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2,https://www.xeno-canto.org/331545,asikoe2/XC331545.ogg
asikoe2,['cohcuc1'],"['call', 'female', 'flight call', 'male', 'song']",21.0438,75.8479,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/331680,asikoe2/XC331680.ogg
asikoe2,[],"['Common hawk cuckoo', 'RED VENTED', 'call', 'female', 'flight call', 'male', 'song']",21.0437,75.8479,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/331683,asikoe2/XC331683.ogg
asikoe2,[],['call'],13.6969,100.5644,Eudynamys scolopaceus,Asian Koel,Somkiat Pakapinyo (Chai),Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/332698,asikoe2/XC332698.ogg
asikoe2,[],['begging call'],18.7363,73.7326,Eudynamys scolopaceus,Asian Koel,Abhijeet Avate,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/332745,asikoe2/XC332745.ogg
asikoe2,"['commyn', 'houcro1', 'junbab2', 'rorpar']","['( First time seen Koyal Juvenile Bird with Pair of Crows)', 'Boys', 'Girls', 'Song fro']",21.0409,75.8512,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/339652,asikoe2/XC339652.ogg
asikoe2,[],['call'],13.4608,120.9375,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Yuri Glushchenko,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/345185,asikoe2/XC345185.ogg
asikoe2,[],['call'],13.4608,120.9375,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Yuri Glushchenko,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/345186,asikoe2/XC345186.ogg
asikoe2,[],['alarm call'],13.4608,120.9375,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin & Yuri Glushchenko,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/345305,asikoe2/XC345305.ogg
asikoe2,['spodov'],['call'],24.4423,118.4019,Eudynamys scolopaceus,Asian Koel,"Ting-Wei, Hung",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/347587,asikoe2/XC347587.ogg
asikoe2,[],['song'],24.4765,118.3216,Eudynamys scolopaceus,Asian Koel,"Ting-Wei, Hung",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/347591,asikoe2/XC347591.ogg
asikoe2,[],"['call', 'song']",13.4608,120.9375,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/349238,asikoe2/XC349238.ogg
asikoe2,[],"['call', 'song']",13.4608,120.9375,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/349239,asikoe2/XC349239.ogg
asikoe2,[],['call'],10.3236,76.951,Eudynamys scolopaceus,Asian Koel,Martin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0,https://www.xeno-canto.org/352055,asikoe2/XC352055.ogg
asikoe2,[],['song'],6.1471,116.2058,Eudynamys scolopaceus,Asian Koel,Wan Iskandar Buniyamin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/353944,asikoe2/XC353944.ogg
asikoe2,[],"['call', 'song']",15.2132,74.1563,Eudynamys scolopaceus,Asian Koel,Shashikant S Naik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/359129,asikoe2/XC359129.ogg
asikoe2,['grecou1'],['song'],12.8969,100.8777,Eudynamys scolopaceus,Asian Koel,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/359319,asikoe2/XC359319.ogg
asikoe2,[],['call'],12.2014,99.9921,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/362066,asikoe2/XC362066.ogg
asikoe2,[],['song'],12.3457,99.9495,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/362071,asikoe2/XC362071.ogg
asikoe2,[],['call'],27.5545,84.5124,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/362353,asikoe2/XC362353.ogg
asikoe2,[],"['call', 'male']",27.5612,84.5189,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/362845,asikoe2/XC362845.ogg
asikoe2,[],"['call', 'male']",27.5612,84.5189,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/362846,asikoe2/XC362846.ogg
asikoe2,[],"['call', 'male']",27.5612,84.5189,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/362848,asikoe2/XC362848.ogg
asikoe2,[],"['call', 'male']",27.5612,84.5189,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/362850,asikoe2/XC362850.ogg
asikoe2,[],"['call', 'male']",27.5612,84.5189,Eudynamys scolopaceus,Asian Koel,Mike Dooher,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/362851,asikoe2/XC362851.ogg
asikoe2,['commyn'],['song'],19.2154,99.01,Eudynamys scolopaceus,Asian Koel,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/364379,asikoe2/XC364379.ogg
asikoe2,[],['song'],9.131,98.2612,Eudynamys scolopaceus,Asian Koel,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/365421,asikoe2/XC365421.ogg
asikoe2,[],['song'],17.4418,78.3446,Eudynamys scolopaceus,Asian Koel,JAMES DUNN,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/366843,asikoe2/XC366843.ogg
asikoe2,[],['call'],13.345,74.787,Eudynamys scolopaceus,Asian Koel,Shaurya Rahul Narlanka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/367710,asikoe2/XC367710.ogg
asikoe2,['commyn'],"['male', 'song']",22.1105,80.5681,Eudynamys scolopaceus,Asian Koel,Pranad Patil,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/368116,asikoe2/XC368116.ogg
asikoe2,[],"['call', 'song']",22.7785,113.577,Eudynamys scolopaceus,Asian Koel,Gary White,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0,https://www.xeno-canto.org/370980,asikoe2/XC370980.ogg
asikoe2,[],"['male', 'song']",21.0484,75.789,Eudynamys scolopaceus,Asian Koel,Lakshmikant Rajaram Neve,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/371890,asikoe2/XC371890.ogg
asikoe2,[],['song'],33.605791,73.042259,Eudynamys scolopaceus,Asian Koel,David Farrow,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/37407,asikoe2/XC37407.ogg
asikoe2,[],"['call', 'male']",33.4744,72.2364,Eudynamys scolopaceus,Asian Koel,Afzaal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/375709,asikoe2/XC375709.ogg
asikoe2,[],['call'],1.3964,103.9254,Eudynamys scolopaceus,Asian Koel,Tan Kok Hui,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/382502,asikoe2/XC382502.ogg
asikoe2,['comtai1'],['song'],12.0012,79.8179,Eudynamys scolopaceus,Asian Koel,bernard Fort,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/392992,asikoe2/XC392992.ogg
asikoe2,"['revbul', 'rorpar']",['song'],12.0005,79.8198,Eudynamys scolopaceus,Asian Koel,bernard Fort,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/393239,asikoe2/XC393239.ogg
asikoe2,[],['call'],13.8549,100.4735,Eudynamys scolopaceus,Asian Koel,Werzik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/396951,asikoe2/XC396951.ogg
asikoe2,[],['call'],15.5352,73.7621,Eudynamys scolopaceus,Asian Koel,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/400193,asikoe2/XC400193.ogg
asikoe2,[],['call'],15.5352,73.7621,Eudynamys scolopaceus,Asian Koel,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/400194,asikoe2/XC400194.ogg
asikoe2,['bladro1'],['call'],15.5471,73.7561,Eudynamys scolopaceus,Asian Koel,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/402084,asikoe2/XC402084.ogg
asikoe2,[],"['begging call', 'juvenile']",10.1369,76.4567,Eudynamys scolopaceus,Asian Koel,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/406132,asikoe2/XC406132.ogg
asikoe2,[],['call'],23.8505,72.1912,Eudynamys scolopaceus,Asian Koel,Viral Patel & Pankaj Maheria,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/412822,asikoe2/XC412822.ogg
asikoe2,[],"['call', 'female', 'male', 'song']",28.6281,77.0886,Eudynamys scolopaceus,Asian Koel,Alok Tewari,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/413439,asikoe2/XC413439.ogg
asikoe2,[],['song'],24.8261,121.7986,Eudynamys scolopaceus,Asian Koel,Shin-Yao Wen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/413593,asikoe2/XC413593.ogg
asikoe2,[],['call'],14.3819,101.8782,Eudynamys scolopaceus,Asian Koel,Greg Irving,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/414018,asikoe2/XC414018.ogg
asikoe2,[],['song'],22.7601,88.4248,Eudynamys scolopaceus,Asian Koel,Sumanta P,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/416848,asikoe2/XC416848.ogg
asikoe2,[],"['call', 'song']",15.5286,73.8357,Eudynamys scolopaceus,Asian Koel,Tejaswini Limaye,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/417387,asikoe2/XC417387.ogg
asikoe2,[],"['call', 'male', 'song']",2.3034,111.8253,Eudynamys scolopaceus,Asian Koel,Hobart WQH,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/423125,asikoe2/XC423125.ogg
asikoe2,[],"['call', 'male', 'song']",2.3034,111.8253,Eudynamys scolopaceus,Asian Koel,Hobart WQH,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/423126,asikoe2/XC423126.ogg
asikoe2,[],['call'],12.9912,80.2363,Eudynamys scolopaceus,Asian Koel,Vivek Puliyeri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/433058,asikoe2/XC433058.ogg
asikoe2,[],['call'],12.9912,80.2363,Eudynamys scolopaceus,Asian Koel,Vivek Puliyeri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4,https://www.xeno-canto.org/433059,asikoe2/XC433059.ogg
asikoe2,[],['call'],,,Eudynamys scolopaceus,Asian Koel,brendan sloan,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3,https://www.xeno-canto.org/433669,asikoe2/XC433669.ogg
asikoe2,"['commyn', 'houcro1']",['song'],13.0861,80.267,Eudynamys scolopaceus,Asian Koel,Sreekumar Chirukandoth,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/435845,asikoe2/XC435845.ogg
asikoe2,[],['call'],1.2833,103.8645,Eudynamys scolopaceus,Asian Koel,Hugo Caverzasi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0,https://www.xeno-canto.org/440991,asikoe2/XC440991.ogg
asikoe2,[],"['call', 'female']",22.2846,70.7642,Eudynamys scolopaceus,Asian Koel,Hemanya Radadia,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/444228,asikoe2/XC444228.ogg
